,SOFT 11,SOFT 16,SOFT 6,SOFT 4,SOFT 4,SOFT 6,SOFT 4,SOFT 0,MEDIUM 12,MEDIUM 0,MEDIUM 0,HARD 15,HARD 0
0,85520.52467532469,87674.4207792208,83366.62857142859,82505.07012987015,82505.07012987015,83366.62857142859,82505.07012987015,80781.95324675327,85797.57411477414,84656.66393162395,84656.66393162395,87339.03632272713,84053.08158015093
1,85951.30389610391,88105.20000000003,83797.40779220781,82935.84935064937,82935.84935064937,83797.40779220781,82935.84935064937,81212.73246753249,85892.64996336997,84751.7397802198,84751.7397802198,87558.0999722322,84272.14522965602
2,86382.08311688314,88535.97922077923,84228.18701298704,83366.62857142859,83366.62857142859,84228.18701298704,83366.62857142859,81643.51168831172,85987.72581196582,84846.81562881565,84846.81562881565,87777.16362173729,84491.20887916109
3,86812.86233766236,88966.75844155846,84658.96623376626,83797.40779220781,83797.40779220781,84658.96623376626,83797.40779220781,82074.29090909094,86082.80166056167,84941.8914774115,84941.8914774115,87996.22727124237,84710.27252866617
4,87243.64155844158,89397.53766233768,85089.74545454548,84228.18701298704,84228.18701298704,85089.74545454548,84228.18701298704,82505.07012987015,86177.87750915752,85036.96732600735,85036.96732600735,88215.29092074744,84929.33617817124
5,87674.4207792208,89828.3168831169,85520.52467532469,84658.96623376626,84658.96623376626,85520.52467532469,84658.96623376626,82935.84935064937,86272.95335775337,85132.04317460318,85132.04317460318,88434.35457025253,85148.39982767633
6,88105.20000000003,90259.09610389612,85951.30389610391,85089.74545454548,85089.74545454548,85951.30389610391,85089.74545454548,83366.62857142859,86368.02920634922,85227.11902319903,85227.11902319903,88653.4182197576,85367.46347718142
7,88535.97922077923,90689.87532467535,86382.08311688314,85520.52467532469,85520.52467532469,86382.08311688314,85520.52467532469,83797.40779220781,86463.10505494507,85322.19487179488,85322.19487179488,88872.48186926269,85586.52712668649
8,88966.75844155846,91120.65454545457,86812.86233766236,85951.30389610391,85951.30389610391,86812.86233766236,85951.30389610391,84228.18701298704,86558.18090354092,85417.27072039073,85417.27072039073,89091.54551876777,85805.59077619157
9,89397.53766233768,91551.43376623378,87243.64155844158,86382.08311688314,86382.08311688314,87243.64155844158,86382.08311688314,84658.96623376626,86653.25675213676,85512.34656898658,85512.34656898658,89310.60916827284,86024.65442569664
10,89828.3168831169,91982.212987013,87674.4207792208,86812.86233766236,86812.86233766236,87674.4207792208,86812.86233766236,85089.74545454548,86748.33260073261,85607.42241758243,85607.42241758243,89529.67281777793,86243.71807520173
11,90259.09610389612,92412.99220779222,88105.20000000003,87243.64155844158,87243.64155844158,88105.20000000003,87243.64155844158,85520.52467532469,86843.40844932846,85702.49826617829,85702.49826617829,89748.736467283,86462.78172470682
12,90689.87532467535,92843.77142857145,88535.97922077923,87674.4207792208,87674.4207792208,88535.97922077923,87674.4207792208,85951.30389610391,86938.48429792431,85797.57411477414,85797.57411477414,89967.80011678809,86681.84537421189
13,91120.65454545457,93274.55064935067,88966.75844155846,88105.20000000003,88105.20000000003,88966.75844155846,88105.20000000003,86382.08311688314,87033.56014652016,85892.64996336997,85892.64996336997,90186.86376629317,86900.90902371697
14,91551.43376623378,93705.32987012989,89397.53766233768,88535.97922077923,88535.97922077923,89397.53766233768,88535.97922077923,86812.86233766236,87128.63599511601,85987.72581196582,85987.72581196582,90405.92741579824,87119.97267322204
15,91982.212987013,94136.1090909091,89828.3168831169,88966.75844155846,88966.75844155846,89828.3168831169,88966.75844155846,87243.64155844158,87223.71184371186,86082.80166056167,86082.80166056167,90624.99106530333,87339.03632272713
16,92412.99220779222,94566.88831168832,90259.09610389612,89397.53766233768,89397.53766233768,90259.09610389612,89397.53766233768,87674.4207792208,87318.78769230771,86177.87750915752,86177.87750915752,90844.0547148084,87558.0999722322
17,92843.77142857145,94997.66753246755,90689.87532467535,89828.3168831169,89828.3168831169,90689.87532467535,89828.3168831169,88105.20000000003,87413.86354090355,86272.95335775337,86272.95335775337,91063.11836431349,87777.16362173729
18,93274.55064935067,95428.44675324677,91120.65454545457,90259.09610389612,90259.09610389612,91120.65454545457,90259.09610389612,88535.97922077923,87508.9393894994,86368.02920634922,86368.02920634922,91282.18201381856,87996.22727124237
19,93705.32987012989,95859.22597402599,91551.43376623378,90689.87532467535,90689.87532467535,91551.43376623378,90689.87532467535,88966.75844155846,87604.01523809525,86463.10505494507,86463.10505494507,91501.24566332364,88215.29092074744
20,94136.1090909091,96290.00519480521,91982.212987013,91120.65454545457,91120.65454545457,91982.212987013,91120.65454545457,89397.53766233768,87699.0910866911,86558.18090354092,86558.18090354092,91720.30931282873,88434.35457025253
21,94566.88831168832,96720.78441558444,92412.99220779222,91551.43376623378,91551.43376623378,92412.99220779222,91551.43376623378,89828.3168831169,87794.16693528695,86653.25675213676,86653.25675213676,91939.3729623338,88653.4182197576
22,94997.66753246755,97151.56363636366,92843.77142857145,91982.212987013,91982.212987013,92843.77142857145,91982.212987013,90259.09610389612,87889.2427838828,86748.33260073261,86748.33260073261,92158.43661183889,88872.48186926269
23,95428.44675324677,97582.34285714287,93274.55064935067,92412.99220779222,92412.99220779222,93274.55064935067,92412.99220779222,90689.87532467535,87984.31863247865,86843.40844932846,86843.40844932846,92377.50026134396,89091.54551876777
24,95859.22597402599,98013.12207792209,93705.32987012989,92843.77142857145,92843.77142857145,93705.32987012989,92843.77142857145,91120.65454545457,88079.3944810745,86938.48429792431,86938.48429792431,92596.56391084904,89310.60916827284
25,96290.00519480521,98443.90129870131,94136.1090909091,93274.55064935067,93274.55064935067,94136.1090909091,93274.55064935067,91551.43376623378,88174.47032967035,87033.56014652016,87033.56014652016,92815.62756035413,89529.67281777793
26,96720.78441558444,98874.68051948053,94566.88831168832,93705.32987012989,93705.32987012989,94566.88831168832,93705.32987012989,91982.212987013,88269.54617826619,87128.63599511601,87128.63599511601,93034.6912098592,89748.736467283
27,97151.56363636366,99305.45974025976,94997.66753246755,94136.1090909091,94136.1090909091,94997.66753246755,94136.1090909091,92412.99220779222,88364.62202686204,87223.71184371186,87223.71184371186,93253.75485936429,89967.80011678809
28,97582.34285714287,99736.23896103898,95428.44675324677,94566.88831168832,94566.88831168832,95428.44675324677,94566.88831168832,92843.77142857145,88459.69787545789,87318.78769230771,87318.78769230771,93472.81850886936,90186.86376629317
29,98013.12207792209,100167.01818181819,95859.22597402599,94997.66753246755,94997.66753246755,95859.22597402599,94997.66753246755,93274.55064935067,88554.77372405374,87413.86354090355,87413.86354090355,93691.88215837444,90405.92741579824
30,98443.90129870131,100597.79740259741,96290.00519480521,95428.44675324677,95428.44675324677,96290.00519480521,95428.44675324677,93705.32987012989,88649.84957264959,87508.9393894994,87508.9393894994,93910.94580787953,90624.99106530333
31,98874.68051948053,101028.57662337663,96720.78441558444,95859.22597402599,95859.22597402599,96720.78441558444,95859.22597402599,94136.1090909091,88744.92542124544,87604.01523809525,87604.01523809525,94130.0094573846,90844.0547148084
32,99305.45974025976,101459.35584415586,97151.56363636366,96290.00519480521,96290.00519480521,97151.56363636366,96290.00519480521,94566.88831168832,88840.00126984129,87699.0910866911,87699.0910866911,94349.07310688969,91063.11836431349
33,99736.23896103898,101890.13506493508,97582.34285714287,96720.78441558444,96720.78441558444,97582.34285714287,96720.78441558444,94997.66753246755,88935.07711843714,87794.16693528695,87794.16693528695,94568.13675639476,91282.18201381856
34,100167.01818181819,102320.9142857143,98013.12207792209,97151.56363636366,97151.56363636366,98013.12207792209,97151.56363636366,95428.44675324677,89030.15296703298,87889.2427838828,87889.2427838828,94787.20040589984,91501.24566332364
35,100597.79740259741,102751.69350649352,98443.90129870131,97582.34285714287,97582.34285714287,98443.90129870131,97582.34285714287,95859.22597402599,89125.22881562883,87984.31863247865,87984.31863247865,95006.26405540493,91720.30931282873
