,SOFT 13,SOFT 15,SOFT 10,SOFT 12,SOFT 6,SOFT 4,SOFT 4,SOFT 0,MEDIUM 19,MEDIUM 0,MEDIUM 0,HARD 0,HARD 0
0,85526.80096425951,85839.5496279216,85057.67796876637,85370.42663242847,84432.18064144219,84119.4319777801,84119.4319777801,83493.93465045592,85339.64002100841,84268.00808823529,84268.00808823529,85529.24175824175,85529.24175824175
1,85683.17529609056,85995.92395975265,85214.05230059742,85526.80096425951,84588.55497327323,84275.80630961114,84275.80630961114,83650.30898228697,85396.04170168068,84324.40976890756,84324.40976890756,85578.13736263735,85578.13736263735
2,85839.5496279216,86152.29829158369,85370.42663242847,85683.17529609056,84744.92930510428,84432.18064144219,84432.18064144219,83806.68331411801,85452.44338235294,84380.81144957984,84380.81144957984,85627.03296703297,85627.03296703297
3,85995.92395975265,86308.67262341474,85526.80096425951,85839.5496279216,84901.30363693532,84588.55497327323,84588.55497327323,83963.05764594905,85508.8450630252,84437.21313025209,84437.21313025209,85675.92857142857,85675.92857142857
4,86152.29829158369,86465.04695524578,85683.17529609056,85995.92395975265,85057.67796876637,84744.92930510428,84744.92930510428,84119.4319777801,85565.24674369747,84493.61481092437,84493.61481092437,85724.82417582418,85724.82417582418
5,86308.67262341474,86621.42128707682,85839.5496279216,86152.29829158369,85214.05230059742,84901.30363693532,84901.30363693532,84275.80630961114,85621.64842436975,84550.01649159665,84550.01649159665,85773.71978021978,85773.71978021978
6,86465.04695524578,86777.79561890787,85995.92395975265,86308.67262341474,85370.42663242847,85057.67796876637,85057.67796876637,84432.18064144219,85678.05010504201,84606.4181722689,84606.4181722689,85822.61538461538,85822.61538461538
7,86621.42128707682,86934.16995073891,86152.29829158369,86465.04695524578,85526.80096425951,85214.05230059742,85214.05230059742,84588.55497327323,85734.45178571428,84662.81985294117,84662.81985294117,85871.51098901099,85871.51098901099
8,86777.79561890787,87090.54428256996,86308.67262341474,86621.42128707682,85683.17529609056,85370.42663242847,85370.42663242847,84744.92930510428,85790.85346638656,84719.22153361345,84719.22153361345,85920.40659340659,85920.40659340659
9,86934.16995073891,87246.918614401,86465.04695524578,86777.79561890787,85839.5496279216,85526.80096425951,85526.80096425951,84901.30363693532,85847.25514705881,84775.6232142857,84775.6232142857,85969.3021978022,85969.3021978022
10,87090.54428256996,87403.29294623205,86621.42128707682,86934.16995073891,85995.92395975265,85683.17529609056,85683.17529609056,85057.67796876637,85903.65682773109,84832.02489495798,84832.02489495798,86018.1978021978,86018.1978021978
11,87246.918614401,87559.66727806309,86777.79561890787,87090.54428256996,86152.29829158369,85839.5496279216,85839.5496279216,85214.05230059742,85960.05850840337,84888.42657563025,84888.42657563025,86067.0934065934,86067.0934065934
12,87403.29294623205,87716.04160989414,86934.16995073891,87246.918614401,86308.67262341474,85995.92395975265,85995.92395975265,85370.42663242847,86016.46018907562,84944.82825630251,84944.82825630251,86115.98901098901,86115.98901098901
13,87559.66727806309,87872.41594172518,87090.54428256996,87403.29294623205,86465.04695524578,86152.29829158369,86152.29829158369,85526.80096425951,86072.8618697479,85001.22993697479,85001.22993697479,86164.88461538461,86164.88461538461
14,87716.04160989414,88028.79027355622,87246.918614401,87559.66727806309,86621.42128707682,86308.67262341474,86308.67262341474,85683.17529609056,86129.26355042016,85057.63161764706,85057.63161764706,86213.78021978022,86213.78021978022
15,87872.41594172518,88185.16460538727,87403.29294623205,87716.04160989414,86777.79561890787,86465.04695524578,86465.04695524578,85839.5496279216,86185.66523109243,85114.03329831932,85114.03329831932,86262.67582417582,86262.67582417582
16,88028.79027355622,88341.53893721831,87559.66727806309,87872.41594172518,86934.16995073891,86621.42128707682,86621.42128707682,85995.92395975265,86242.0669117647,85170.4349789916,85170.4349789916,86311.57142857142,86311.57142857142
17,88185.16460538727,88497.91326904936,87716.04160989414,88028.79027355622,87090.54428256996,86777.79561890787,86777.79561890787,86152.29829158369,86298.46859243697,85226.83665966385,85226.83665966385,86360.46703296703,86360.46703296703
18,88341.53893721831,88654.2876008804,87872.41594172518,88185.16460538727,87246.918614401,86934.16995073891,86934.16995073891,86308.67262341474,86354.87027310923,85283.23834033613,85283.23834033613,86409.36263736263,86409.36263736263
19,88497.91326904936,88810.66193271146,88028.79027355622,88341.53893721831,87403.29294623205,87090.54428256996,87090.54428256996,86465.04695524578,86411.27195378151,85339.64002100841,85339.64002100841,86458.25824175825,86458.25824175825
20,88654.2876008804,88967.0362645425,88185.16460538727,88497.91326904936,87559.66727806309,87246.918614401,87246.918614401,86621.42128707682,86467.67363445376,85396.04170168068,85396.04170168068,86507.15384615384,86507.15384615384
21,88810.66193271146,89123.41059637355,88341.53893721831,88654.2876008804,87716.04160989414,87403.29294623205,87403.29294623205,86777.79561890787,86524.07531512604,85452.44338235294,85452.44338235294,86556.04945054944,86556.04945054944
22,88967.0362645425,89279.7849282046,88497.91326904936,88810.66193271146,87872.41594172518,87559.66727806309,87559.66727806309,86934.16995073891,86580.47699579832,85508.8450630252,85508.8450630252,86604.94505494506,86604.94505494506
23,89123.41059637355,89436.15926003564,88654.2876008804,88967.0362645425,88028.79027355622,87716.04160989414,87716.04160989414,87090.54428256996,86636.87867647057,85565.24674369747,85565.24674369747,86653.84065934065,86653.84065934065
24,89279.7849282046,89592.53359186668,88810.66193271146,89123.41059637355,88185.16460538727,87872.41594172518,87872.41594172518,87246.918614401,86693.28035714285,85621.64842436975,85621.64842436975,86702.73626373627,86702.73626373627
25,89436.15926003564,89748.90792369773,88967.0362645425,89279.7849282046,88341.53893721831,88028.79027355622,88028.79027355622,87403.29294623205,86749.68203781512,85678.05010504201,85678.05010504201,86751.63186813187,86751.63186813187
26,89592.53359186668,89905.28225552877,89123.41059637355,89436.15926003564,88497.91326904936,88185.16460538727,88185.16460538727,87559.66727806309,86806.08371848738,85734.45178571428,85734.45178571428,86800.52747252746,86800.52747252746
27,89748.90792369773,90061.65658735982,89279.7849282046,89592.53359186668,88654.2876008804,88341.53893721831,88341.53893721831,87716.04160989414,86862.48539915966,85790.85346638656,85790.85346638656,86849.42307692308,86849.42307692308
28,89905.28225552877,90218.03091919086,89436.15926003564,89748.90792369773,88810.66193271146,88497.91326904936,88497.91326904936,87872.41594172518,86918.88707983193,85847.25514705881,85847.25514705881,86898.31868131868,86898.31868131868
29,90061.65658735982,90374.4052510219,89592.53359186668,89905.28225552877,88967.0362645425,88654.2876008804,88654.2876008804,88028.79027355622,86975.28876050419,85903.65682773109,85903.65682773109,86947.21428571428,86947.21428571428
30,90218.03091919086,90530.77958285295,89748.90792369773,90061.65658735982,89123.41059637355,88810.66193271146,88810.66193271146,88185.16460538727,87031.69044117647,85960.05850840337,85960.05850840337,86996.10989010989,86996.10989010989
31,90374.4052510219,90687.153914684,89905.28225552877,90218.03091919086,89279.7849282046,88967.0362645425,88967.0362645425,88341.53893721831,87088.09212184872,86016.46018907562,86016.46018907562,87045.00549450549,87045.00549450549
32,90530.77958285295,90843.52824651504,90061.65658735982,90374.4052510219,89436.15926003564,89123.41059637355,89123.41059637355,88497.91326904936,87144.493802521,86072.8618697479,86072.8618697479,87093.9010989011,87093.9010989011
33,90687.153914684,90999.90257834608,90218.03091919086,90530.77958285295,89592.53359186668,89279.7849282046,89279.7849282046,88654.2876008804,87200.89548319328,86129.26355042016,86129.26355042016,87142.7967032967,87142.7967032967
34,90843.52824651504,91156.27691017713,90374.4052510219,90687.153914684,89748.90792369773,89436.15926003564,89436.15926003564,88810.66193271146,87257.29716386553,86185.66523109243,86185.66523109243,87191.6923076923,87191.6923076923
35,90999.90257834608,91312.65124200817,90530.77958285295,90843.52824651504,89905.28225552877,89592.53359186668,89592.53359186668,88967.0362645425,87313.69884453781,86242.0669117647,86242.0669117647,87240.58791208791,87240.58791208791
36,91156.27691017713,91469.02557383922,90687.153914684,90999.90257834608,90061.65658735982,89748.90792369773,89748.90792369773,89123.41059637355,87370.10052521009,86298.46859243697,86298.46859243697,87289.48351648351,87289.48351648351
